,Group,MemberOf,ParentFolder,Path,Version,Volume,_id
0,TRVGRP--d41d8cd98f,,,,2,vmposeteREGY,5a71940f8b35cb93226c5b89
1,TRVGRP-Hom-89cfcd73d3,,,/Homedir,2,vmposeteREGY,5a71940f8b35cb93226c5b94
2,TRVGRP-Dat-5bbb4c1838,,,/Datas,2,vmposeteREGY,5a71940f8b35cb93226c5b99
3,TRVGRP-DatDev-5c094fae1c,TRVGRP-Dat-5bbb4c1838,/Datas,/Datas/Developpement,2,vmposeteREGY,5a71940f8b35cb93226c5bbe
4,TRVGRP-DatDevPro-461f4f70b4,TRVGRP-DatDev-5c094fae1c,/Datas/Developpement,/Datas/Developpement/Prospective,2,vmposeteREGY,5a71940f8b35cb93226c5be9
5,TRVGRP-DatInf-1ac517a9ef,TRVGRP-Dat-5bbb4c1838,/Datas,/Datas/Infrastructure,2,vmposeteREGY,5a71940f8b35cb93226c5bf2
