,TID,Version,Volume,_id,name,path,rights
0,711fd385-82aa-4136-35-9c-85d31f71aa82,2,vmposeteCRAC,5a7193198b35cb93226c578a,.OU=Users_CRAC.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Datas,rf
1,fa954231-9dcf-411f-6e-ba-314295facf9d,2,vmposeteCRAC,5a7193198b35cb93226c5790,.CN=R_CRAC_Direction.OU=Group.OU=Service.O=CR.T=RLR.,/Datas/Direction,rwcefm
2,711fd385-82aa-4136-35-9c-85d31f71aa82,2,vmposeteCRAC,5a7193198b35cb93226c5794,.OU=Users_CRAC.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Datas/Service,rwcefm
3,56713720-ee56-01db-80-8c-00145e3c3f79,2,vmposeteCRAC,5a7193198b35cb93226c5798,.CN=Carpentier_m.OU=Users_CRAC.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Homedir/Carpentier_m,rwceafm
4,01e0f600-ee56-01db-80-8c-00145e3c3f79,2,vmposeteCRAC,5a7193198b35cb93226c579c,.CN=Noel_c.OU=Users_CRAC.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Homedir/Noel_c,rwceafm
5,3cce41f0-ee56-01db-80-8c-00145e3c3f79,2,vmposeteCRAC,5a7193198b35cb93226c57a0,.CN=Redon_k.OU=Users_CRAC.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Homedir/Redon_k,rwceafm
6,6f111430-ee56-01db-80-8c-00145e3c3f79,2,vmposeteCRAC,5a7193198b35cb93226c57a4,.CN=Rossignol_v.OU=Users_CRAC.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Homedir/Rossignol_v,rwceafm
7,a3723500-fb61-11d8-ad-06-0002b3b3bb13,2,vmposeteCRAC,5a7193198b35cb93226c57a8,.CN=Siess_f.OU=Users_CRAC.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Homedir/Siess_f,rwceafm
8,d19f7200-ee55-01db-80-8c-00145e3c3f79,2,vmposeteCRAC,5a7193198b35cb93226c57b0,.CN=Bonjour_p.OU=Users_CRAC.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Homedir/Bonjour_p,rwceafm
9,20be1d50-ee56-01db-80-8c-00145e3c3f79,2,vmposeteCRAC,5a7193198b35cb93226c57b4,.CN=Comito_m.OU=Users_CRAC.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Homedir/Comito_m,rwceafm
10,37357316-e039-4261-9e-9d-1673353739e0,2,vmposeteCRAC,5a7193198b35cb93226c57b6,.CN=Caumet_s.OU=Users_CRAC.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Homedir/Caumet_s,rwceafm
