,Group,MemberOf,ParentFolder,Path,Version,Volume,_id
0,TRVGRP--d41d8cd98f,,,,2,vmposeteCRAC,5a7193f78b35cb93226c5aa6
1,TRVGRP-Dat-5bbb4c1838,TRVGRP--d41d8cd98f,,/Datas,2,vmposeteCRAC,5a7193f78b35cb93226c5aa9
2,TRVGRP-Hom-89cfcd73d3,TRVGRP--d41d8cd98f,,/Homedir,2,vmposeteCRAC,5a7193f78b35cb93226c5ab2
