,TID,Version,Volume,_id,name,path,rights
42,e4373600-9018-11db-bd-23-000e0c610b55,2,vmposeteREGY,5a7193288b35cb93226c5876,.CN=Max_o.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Homedir/Max_o,rwceafm
43,22ccf080-9019-11db-bd-23-000e0c610b55,2,vmposeteREGY,5a7193288b35cb93226c587a,.CN=Miane_p.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Homedir/Miane_p,rwceafm
44,5f98e780-9019-11db-bd-23-000e0c610b55,2,vmposeteREGY,5a7193288b35cb93226c587e,.CN=Midoux_v.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Homedir/Midoux_v,rwceafm
45,e72e1700-9639-11d9-a4-db-0002b3b3bb84,2,vmposeteREGY,5a7193288b35cb93226c5882,.CN=Nougarede_n.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Homedir/Nougarede_n,rwceafm
46,78f56000-9028-11db-bd-23-000e0c610b55,2,vmposeteREGY,5a7193288b35cb93226c5888,.CN=Pietrobon_m.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Homedir/Pietrebon_m,rwceafm
47,08027800-9029-11db-bd-23-000e0c610b55,2,vmposeteREGY,5a7193288b35cb93226c5892,.CN=Recouvreur_g.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Homedir/Recouvreur_g,rwceafm
48,1ea8cf00-9029-11db-bd-23-000e0c610b55,2,vmposeteREGY,5a7193288b35cb93226c5896,.CN=Roig_a.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Homedir/Roig_a,rwceafm
49,f1c0e4e8-3f03-478d-6f-a8-e8e4c0f1033f,2,vmposeteREGY,5a7193288b35cb93226c589c,.CN=Schwebel_m.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Homedir/Schwebel_m,rwceafm
50,83fcc000-9029-11db-bd-23-000e0c610b55,2,vmposeteREGY,5a7193288b35cb93226c58a0,.CN=Stahl_p.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Homedir/Stahl_p,rwceafm
51,01ec0bd5-7e3a-4633-c2-bf-d50bec013a7e,2,vmposeteREGY,5a7193288b35cb93226c58a4,.CN=Szczot_s.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Homedir/Szczot_s,rwceafm
52,85ea2310-271a-01dd-80-04-00145e3c3f92,2,vmposeteREGY,5a7193288b35cb93226c58a8,.CN=Taioni_c.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Homedir/Taioni_c,rwceafm
53,009f028a-b3b6-418c-37-a6-8a029f00b6b3,2,vmposeteREGY,5a7193288b35cb93226c58ac,.CN=Master_seven.O=CR.T=RLR.,/Homedir/Master_seven,rwcefm
54,082c9000-fb60-11d8-ad-06-0002b3b3bb13,2,vmposeteREGY,5a7193288b35cb93226c58ae,.CN=Teule_i.OU=DGA-3_Form_Pro.OU=CR_Hotel_de_Region.O=CR.T=RLR.,/Homedir/Teule_i,rwcefm
55,ca521f00-9029-11db-bd-23-000e0c610b55,2,vmposeteREGY,5a7193288b35cb93226c58b3,.CN=Vachey_g.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Homedir/Vachey_g,rwceafm
56,a93dfe00-902a-11db-bd-23-000e0c610b55,2,vmposeteREGY,5a7193288b35cb93226c58b7,.CN=Vielly_b.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Homedir/Vielly_b,rwceafm
57,edd8be7f-f525-48e3-60-97-7fbed8ed25f5,2,vmposeteREGY,5a7193288b35cb93226c58bd,.CN=Ibanez_fa.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Homedir/Ibanez_fa,rwceafm
58,f4a3ba86-3425-4539-90-bd-86baa3f42534,2,vmposeteREGY,5a7193288b35cb93226c58c1,.CN=Mourouvin_s.OU=Users_RICHELIEU.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Homedir/Mourouvin_s,rwcefm
59,6872197d-c40f-4d1f-e3-86-7d1972680fc4,2,vmposeteREGY,5a7193288b35cb93226c58c3,.CN=Valez_p.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Homedir/Valez_p,rwceafm
60,821ef0e5-6a05-4f01-a6-8a-e5f01e82056a,2,vmposeteREGY,5a7193288b35cb93226c58c5,.CN=Boniface_l.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Homedir/Boniface_l,rwceafm
61,4dbae2b5-7c19-41e6-4a-83-b5e2ba4d197c,2,vmposeteREGY,5a7193288b35cb93226c58c7,.CN=Befve_a.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Homedir/Befve_a,rwceafm
62,f912ca00-9016-11db-bd-23-000e0c610b55,2,vmposeteREGY,5a7193288b35cb93226c58c9,.CN=Bremond-Laux_d.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Homedir/Gaillard_d,rwceafm
63,941b6825-3751-47d0-9b-a0-25681b945137,2,vmposeteREGY,5a7193288b35cb93226c58cb,.CN=Villepreux_j.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Homedir/Villepreux_j,rwceafm
64,2144a04b-52b4-46c9-df-9a-4ba04421b452,2,vmposeteREGY,5a7193288b35cb93226c58cd,.CN=Ricard_j.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Homedir/Ricard_j,rwceafm
65,508b138d-fe02-4c36-c5-90-8d138b5002fe,2,vmposeteREGY,5a7193288b35cb93226c58cf,.CN=Molina-Agniel_e.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Homedir/Molina_Agniel_e,rwcefm
66,2e5f40c0-3d2d-01dd-80-24-0011254a2892,2,vmposeteREGY,5a7193288b35cb93226c58d1,.CN=Moutte_d.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Homedir/Moutte_d,rwcefm
67,1833a0b3-46ad-40ec-ce-b7-b3a03318ad46,2,vmposeteREGY,5a7193288b35cb93226c58d5,.CN=Nouxet_v.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Homedir/Nouxet_v,rwcefm
68,afb93da0-54dc-4d08-a1-b9-a03db9afdc54,2,vmposeteREGY,5a7193288b35cb93226c58d9,.CN=Nadal_p.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Homedir/Nadal_p,rwceafm
