,MemberOf,SAMAccountName,Version,Volume,_id
58,TRVGRP-ECH-1a3fc42d5a,FMS,2,VOLDATAG,5a685ca12525b99975921259
59,TRVGRP-ECH-1a3fc42d5a,Films,2,VOLDATAG,5a685ca12525b9997592125c
60,TRVGRP-ECH-1a3fc42d5a,DIRGENE1_USERS,2,VOLDATAG,5a685ca12525b9997592125f
61,TRVGRP-ECH-1a3fc42d5a,RESERVATION_4EME,2,VOLDATAG,5a685ca12525b99975921262
62,TRVGRP-ECH-1a3fc42d5a,BERNIER,2,VOLDATAG,5a685ca12525b99975921265
63,TRVGRP-ECH-1a3fc42d5a,SECGENERAL,2,VOLDATAG,5a685ca12525b99975921268
64,TRVGRP-ECH-1a3fc42d5a,IUP252,2,VOLDATAG,5a685ca12525b9997592126b
65,TRVGRP-ECH-1a3fc42d5a,AYT425,2,VOLDATAG,5a685ca12525b9997592126e
66,TRVGRP-ECH-1a3fc42d5a,ELITES,2,VOLDATAG,5a685ca12525b99975921271
67,TRVGRP-ECH-1a3fc42d5a,IRIS,2,VOLDATAG,5a685ca12525b99975921274
68,TRVGRP-ECH-1a3fc42d5a,IRIS_ADM_ALL,2,VOLDATAG,5a685ca12525b99975921277
69,TRVGRP-ECH-1a3fc42d5a,DEMENAGEMENT,2,VOLDATAG,5a685ca12525b9997592127a
70,TRVGRP-ECH-1a3fc42d5a,RelationsInvestisseurs,2,VOLDATAG,5a685ca12525b9997592127d
71,TRVGRP-ECH-1a3fc42d5a,DirectionFinanciere,2,VOLDATAG,5a685ca12525b99975921280
72,TRVGRP-ECH-1a3fc42d5a,TARIFSMATERIEL,2,VOLDATAG,5a685ca12525b99975921283
73,TRVGRP-ECH-1a3fc42d5a,TARIFSMATERIELALL,2,VOLDATAG,5a685ca12525b99975921286
74,TRVGRP-ECH-1a3fc42d5a,BLUE-SOLUTION-DAF,2,VOLDATAG,5a685ca12525b9997592128b
75,TRVGRP-ECH-1a3fc42d5a,QIA742,2,VOLDATAG,5a685ca12525b9997592128e
76,TRVGRP-ECH-1a3fc42d5a,GBF915,2,VOLDATAG,5a685ca12525b99975921291
77,TRVGRP-ECH-1a3fc42d5a,FMB335,2,VOLDATAG,5a685ca12525b99975921294
78,TRVGRP-ECH-1a3fc42d5a,L_BOL_PTX_FILR_BluesolutionDaf,2,VOLDATAG,5a685ca12525b99975921297
79,TRVGRP-ECH-1a3fc42d5a,MIDDLE_OFFICE_INDUSTRY,2,VOLDATAG,5a685ca12525b9997592129a
80,TRVGRP-ECH-1a3fc42d5a,SERVEUR_AEG_DELOITTE_CONSO,2,VOLDATAG,5a685ca12525b9997592129d
81,TRVGRP-ECH-1a3fc42d5a,L_BOL_PTX_FILR_IFRS15,2,VOLDATAG,5a685ca12525b999759212a0
82,TRVGRP-ECH-1a3fc42d5a,L_BOL_PTX_FILR_Collectes IFC et NRE,2,VOLDATAG,5a685ca12525b999759212a3
83,TRVGRP-ECH-1a3fc42d5a,G_Echange_Communication Groupe,2,VOLDATAG,5a685ca12525b999759212a6
84,TRVGRP-ECH-1a3fc42d5a,G_UPSLIDE,2,VOLDATAG,5a685ca12525b999759212ad
85,TRVGRP-ECH-1a3fc42d5a,G_ZCM_NOTES ANALYSTES,2,VOLDATAG,5a685ca12525b999759212b0
86,TRVGRP-ECH-1a3fc42d5a,EYR192,2,VOLDATAG,5a685ca12525b999759212b3
87,TRVGRP-ECH-1a3fc42d5a,OMJ895,2,VOLDATAG,5a685ca12525b999759212b6
88,TRVGRP-ECH-1a3fc42d5a,YFW675,2,VOLDATAG,5a685ca12525b999759212b9
89,TRVGRP-ECH-1a3fc42d5a,G_Groupebollore,2,VOLDATAG,5a685ca12525b999759212bc
90,TRVGRP-ECHAch-41f3ae9dab,HCMN,2,VOLDATAG,5a685ca12525b999759212bf
91,TRVGRP-ECHBOL-a7d58f6f74,PLNY,2,VOLDATAG,5a685ca12525b999759212c2
92,TRVGRP-ECHBOL-a7d58f6f74,YBDN,2,VOLDATAG,5a685ca12525b999759212c5
93,TRVGRP-ECHBOL-a7d58f6f74,TKO004,2,VOLDATAG,5a685ca12525b999759212c8
94,TRVGRP-ECHBOL-8536cd033b,LLIE,2,VOLDATAG,5a685ca12525b999759212cb
95,TRVGRP-ECHBOL-e855b53158,1-BM-COMMUNICATION,2,VOLDATAG,5a685ca12525b999759212ce
96,TRVGRP-ECHBOL-e855b53158,1-BM-DRH,2,VOLDATAG,5a685ca12525b999759212d1
97,TRVGRP-ECHBOL-e855b53158,1-BM-DSI,2,VOLDATAG,5a685ca12525b999759212d4
98,TRVGRP-ECHBOL-e855b53158,BPG943,2,VOLDATAG,5a685ca12525b999759212d7
99,TRVGRP-ECHBOL-e855b53158,FMW088,2,VOLDATAG,5a685ca12525b999759212da
100,TRVGRP-ECHBOL-e855b53158,1-BM-CANAL-PLUS,2,VOLDATAG,5a685ca12525b999759212dd
101,TRVGRP-ECHBOL-e855b53158,1-BM-DIRECTION,2,VOLDATAG,5a685ca12525b999759212e0
102,TRVGRP-ECHBOL-8536cd033b,BI-PLANNINGPRESSEREGIEPUB,2,VOLDATAG,5a685ca12525b999759212e3
103,TRVGRP-ECHBOL-8536cd033b,BI-PLANNINGPRESSE,2,VOLDATAG,5a685ca12525b999759212e6
104,TRVGRP-ECHCGE04_042-dca4055618,CGES_DIVISIONS_FMS,2,VOLDATAG,5a685ca12525b999759212e9
105,TRVGRP-ECHCGE04_042-dca4055618,CGES_DIVISIONS_NAOC,2,VOLDATAG,5a685ca12525b999759212ec
106,TRVGRP-ECHCOM-3bb2c1dc6a,COMPTA_USERS,2,VOLDATAG,5a685ca12525b999759212ef
107,TRVGRP-ECHCOM-3bb2c1dc6a,CRISTAL_PROJET_COMPTABLE,2,VOLDATAG,5a685ca12525b999759212f2
108,TRVGRP-ECHCOMCRIPAR-906634ac23,COMPTA-PARADM,2,VOLDATAG,5a685ca12525b999759212f5
109,TRVGRP-ECHDIR-a428650997,DM-AAACTU_TV_DIRECTSOIR,2,VOLDATAG,5a685ca12525b999759212f8
110,TRVGRP-ECHDIR-a17b2cd747,EDNS,2,VOLDATAG,5a685ca12525b999759212fb
111,TRVGRP-ECHDIR-a17b2cd747,YRX187,2,VOLDATAG,5a685ca12525b999759212fe
112,TRVGRP-ECHDIS-96f97504cb,DP-MEDIAPILOT,2,VOLDATAG,5a685ca12525b99975921301
113,TRVGRP-ECHDISArc-072e0696ed,DP-RESEAU-DEPOT,2,VOLDATAG,5a685ca12525b99975921304
114,TRVGRP-ECHDRH-c69fcf1690,DRHGRPADMIN,2,VOLDATAG,5a685ca12525b99975921307
115,TRVGRP-ECHDRH-c69fcf1690,GOM853,2,VOLDATAG,5a685ca12525b9997592130a
116,TRVGRP-ECHDRH-c69fcf1690,DMP301,2,VOLDATAG,5a685ca12525b9997592130d
117,TRVGRP-ECHDRH-c69fcf1690,DRHGRP-Service_XB,2,VOLDATAG,5a685ca12525b99975921310
118,TRVGRP-ECHDRH-c69fcf1690,DRHGRP_DEVRH,2,VOLDATAG,5a685ca12525b99975921313
119,TRVGRP-ECHDRHSer03_HRDocPro-5e340bdb78,DRHGRP-ACTUARIAT,2,VOLDATAG,5a685ca12525b99975921316
120,TRVGRP-ECHDRHSer01_-a0f0d0fb42,DRHGRP-EPARGNESALA,2,VOLDATAG,5a685ca12525b99975921319
121,TRVGRP-ECHDRHSer01_-a0f0d0fb42,DRHGRP-PROCEDURE,2,VOLDATAG,5a685ca12525b9997592131c
122,TRVGRP-ECHDRHSer-ee20ec1e33,DRHGRP-PRTECTSOC,2,VOLDATAG,5a685ca12525b9997592131f
123,TRVGRP-ECHDRHSer-ee20ec1e33,DRHGRP-REPORTSOCIAL,2,VOLDATAG,5a685ca12525b99975921322
124,TRVGRP-ECHDRHSer01_-a0f0d0fb42,DRHGRP-REMUNERATIONS,2,VOLDATAG,5a685ca12525b99975921325
125,TRVGRP-ECHDRHSer-ee20ec1e33,DRHGRP-SECRETCK,2,VOLDATAG,5a685ca12525b99975921328
126,TRVGRP-ECHDRHSer-ee20ec1e33,DRHGRP-SIRH,2,VOLDATAG,5a685ca12525b9997592132b
127,TRVGRP-ECHDRHSer-ee20ec1e33,DRHGRP-EPARGNESALA,2,VOLDATAG,5a685ca12525b9997592132e
128,TRVGRP-ECHDRHSer98_-70a0e33cfe,DRHGRP-CK-PHILOMANIA,2,VOLDATAG,5a685ca12525b99975921331
129,TRVGRP-ECHDRHSer01_01_-3b7e050e4b,DRHGRP-REV-SALARIALES,2,VOLDATAG,5a685ca12525b99975921334
130,TRVGRP-ECHDRHSer03_-3c7291fee2,FJC136,2,VOLDATAG,5a685ca12525b99975921337
131,TRVGRP-ECHDRHSer03_-3c7291fee2,DRHGRP-SIRH-HRASUITE7,2,VOLDATAG,5a685ca12525b9997592133a
132,TRVGRP-ECHDRHSer03_HRDoc-2a6d9f5292,AHG951,2,VOLDATAG,5a685ca12525b9997592133d
133,TRVGRP-ECHDRHSer03_HRDoc-2a6d9f5292,QBG635,2,VOLDATAG,5a685ca12525b99975921340
134,TRVGRP-ECHDRHSer03_HRDocPro-5e340bdb78,AKZ523,2,VOLDATAG,5a685ca12525b99975921343
135,TRVGRP-ECHDRHSer-c1d5998d2c,DRHGRP-JURPROTECSOC,2,VOLDATAG,5a685ca12525b99975921346
136,TRVGRP-ECHDRHSer-985d7e9997,DRHGRP-SECRETDRHGRP,2,VOLDATAG,5a685ca12525b99975921349
137,TRVGRP-ECHDRHSer-985d7e9997,DRHGRP-SECRETPYB,2,VOLDATAG,5a685ca12525b9997592134c
138,TRVGRP-ECHDRHSerDRH-086455cd03,BQF210,2,VOLDATAG,5a685ca12525b9997592134f
139,TRVGRP-ECHDSI-3bc46574ae,ATOS,2,VOLDATAG,5a685ca12525b99975921352
140,TRVGRP-ECHDSIHot-a171d322a9,ATOS,2,VOLDATAG,5a685ca12525b99975921359
141,TRVGRP-ECHDSI-3bc46574ae,INFOGERANT,2,VOLDATAG,5a685ca12525b9997592135e
142,TRVGRP-ECHDSI-3bc46574ae,ATOS_DROIT_SUP,2,VOLDATAG,5a685ca12525b99975921363
143,TRVGRP-ECHDSIASS-ba1b961bc1,PHRVBI,2,VOLDATAG,5a685ca12525b99975921368
144,TRVGRP-ECHDSIApp-4f3974a390,DSI-ENABLONDD,2,VOLDATAG,5a685ca12525b9997592136d
145,TRVGRP-ECHDSIApp-4f3974a390,HQR252,2,VOLDATAG,5a685ca12525b99975921370
146,TRVGRP-ECHDSIAppENA-0da1aec6e5,STDIRGE2,2,VOLDATAG,5a685ca12525b99975921373
147,TRVGRP-ECHDSIGESdocRES-96d5ec7046,L_BOL_PTX_FILR_RESEAU-SECURITE,2,VOLDATAG,5a685ca12525b99975921376
148,TRVGRP-ECHDSIPRO-9f6de63474,COVOITURAGE,2,VOLDATAG,5a685ca12525b99975921379
149,TRVGRP-ECHDSIPRO-9f6de63474,CMBL,2,VOLDATAG,5a685ca12525b9997592137c
150,TRVGRP-ECHDSIPRO-9f6de63474,UXB461,2,VOLDATAG,5a685ca12525b9997592137f
151,TRVGRP-ECHDSIPRO-9f6de63474,STDIRGE2,2,VOLDATAG,5a685ca12525b99975921382
152,TRVGRP-ECHDSIPRO-9f6de63474,EGX104,2,VOLDATAG,5a685ca12525b99975921385
153,TRVGRP-ECHDSIPRO-9f6de63474,CLCD,2,VOLDATAG,5a685ca12525b99975921388
154,TRVGRP-ECHDSIPRO-9f6de63474,IMG197,2,VOLDATAG,5a685ca12525b9997592138b
155,TRVGRP-ECHDSIPRO-9f6de63474,DSI-IMMO,2,VOLDATAG,5a685ca12525b9997592138e
156,TRVGRP-ECHDSIPRO-9f6de63474,DSI-MEDICAL,2,VOLDATAG,5a685ca12525b99975921391
157,TRVGRP-ECHDSIPRO-9f6de63474,FPB615,2,VOLDATAG,5a685ca12525b99975921394
158,TRVGRP-ECHBOLDSIMEDRégEDI-b09bd3e863,MPTR,2,VOLDATAG,5a685ca12525b99975921397
159,TRVGRP-ECHBOLDSIMEDRégEDI-b09bd3e863,VRAD,2,VOLDATAG,5a685ca12525b9997592139a
160,TRVGRP-ECHDSIPRO-9f6de63474,EQUITRAC-MFP-RICOH,2,VOLDATAG,5a685ca12525b9997592139d
161,TRVGRP-ECHDSIPRO-9f6de63474,BM-PROJETS-MEDIAS,2,VOLDATAG,5a685ca12525b999759213a0
162,TRVGRP-ECHDSIPRO-9f6de63474,MPTR,2,VOLDATAG,5a685ca12525b999759213a3
163,TRVGRP-ECHDSIPRO-9f6de63474,IOU600,2,VOLDATAG,5a685ca12525b999759213a6
164,TRVGRP-ECHDSIPRO-9f6de63474,THI070,2,VOLDATAG,5a685ca12525b999759213a9
165,TRVGRP-ECHDSIPRO-9f6de63474,OPTIM'IS DATAFINANCE,2,VOLDATAG,5a685ca12525b999759213ac
166,TRVGRP-ECHFIL-20409620ed,VFT625,2,VOLDATAG,5a685ca12525b999759213af
167,TRVGRP-ECHFIL-20409620ed,FILM-MCV,2,VOLDATAG,5a685ca12525b999759213b2
168,TRVGRP-ECHFIL-20409620ed,FILM-PLASTIQUE,2,VOLDATAG,5a685ca12525b999759213b5
169,TRVGRP-ECHFIL-20409620ed,VZZ582,2,VOLDATAG,5a685ca12525b999759213b8
170,TRVGRP-ECHIMM-3a3ed356fb,IMMOBILIER-TITRES,2,VOLDATAG,5a685ca12525b999759213bb
171,TRVGRP-ECHJUR-5cadf3508f,JUR_FIS_IND-BIBLIO,2,VOLDATAG,5a685ca12525b999759213be
172,TRVGRP-ECHJUR-5cadf3508f,JUR_FIS_IND-CAI,2,VOLDATAG,5a685ca12525b999759213c1
173,TRVGRP-ECHJUR-5cadf3508f,IZF148,2,VOLDATAG,5a685ca12525b999759213c4
174,TRVGRP-ECHJUR-5cadf3508f,FISCAL,2,VOLDATAG,5a685ca12525b999759213c7
175,TRVGRP-ECHJUR-5cadf3508f,L_BOL_PTX_FILR_FISCAL,2,VOLDATAG,5a685ca12525b999759213ca
176,TRVGRP-ECHJUR-5cadf3508f,JUR_FIS_IND-JLECOCQ,2,VOLDATAG,5a685ca12525b999759213cd
177,TRVGRP-ECHJUR-5cadf3508f,HQR252,2,VOLDATAG,5a685ca12525b999759213d0
178,TRVGRP-ECHJURBIBSOC-0f40ea3898,MEDIA-CSA,2,VOLDATAG,5a685ca12525b999759213d3
179,TRVGRP-ECHJURDOC-3e4c079e99,LHE203,2,VOLDATAG,5a685ca12525b999759213d8
180,TRVGRP-ECHJURBIBSOCBluBlu-6d63a1ecb1,CNH121,2,VOLDATAG,5a685ca12525b999759213db
181,TRVGRP-ECHJURFISA--6329bb79f4,JUR_FIS_TRANSFERT,2,VOLDATAG,5a685ca12525b999759213de
182,TRVGRP-ECHJURFISSEC-dc967c849c,JUR_FIS_IND_PAJOT,2,VOLDATAG,5a685ca12525b999759213e1
183,TRVGRP-ECHJURFISSEC-dc967c849c,FISCAL,2,VOLDATAG,5a685ca12525b999759213e4
184,TRVGRP-ECHJURFISSEC-dc967c849c,JUR_FIS_IND,2,VOLDATAG,5a685ca12525b999759213e7
185,TRVGRP-ECHNET-3f3cfc2e87,LXF256,2,VOLDATAG,5a685ca12525b999759213ea
186,TRVGRP-ECHBOLCANEnC-ef7f090b2f,CHANTIER1,2,VOLDATAG,5a685ca12525b999759213ed
187,TRVGRP-ECHBOLCANEnC-ef7f090b2f,CHANTIER8,2,VOLDATAG,5a685ca12525b999759213f0
188,TRVGRP-ECHBOLCANEnC-ef7f090b2f,CHANTIER16,2,VOLDATAG,5a685ca12525b999759213f3
189,TRVGRP-ECHBOLCANEnv-4f49939726,CHANTIER8,2,VOLDATAG,5a685ca12525b999759213f6
190,TRVGRP-ECHBOLCANEnv-4f49939726,CHANTIER16,2,VOLDATAG,5a685ca12525b999759213f9
191,TRVGRP-ECHBOLCANRec-f58dc52900,CHANTIER8,2,VOLDATAG,5a685ca12525b999759213fc
192,TRVGRP-ECHBOLCANRec-f58dc52900,CHANTIER16,2,VOLDATAG,5a685ca12525b999759213ff
193,TRVGRP-ECHUNI-8a111f1b5a,UNICAF-MS,2,VOLDATAG,5a685ca12525b99975921402
194,TRVGRP-PUB-5fbeaa5186,JFX667,2,VOLDATAG,5a685ca12525b99975921405
195,TRVGRP-ECHBOLDSI-b5b9877340,G_DSIMed_MED-Proj,2,VOLDATAG,5a685ca12525b99975921408
196,TRVGRP-ECHBOLDSIMED-3b9f17fad4,DSI-DEMENAGEMENT,2,VOLDATAG,5a685ca12525b9997592140b
197,TRVGRP-ECHBOLDSI-b5b9877340,MED-ATOS,2,VOLDATAG,5a685ca12525b9997592140e
198,TRVGRP-ECHBOLDRH$A1ECH-480f512003,1-BM-DRH,2,VOLDATAG,5a685ca12525b99975921411
199,TRVGRP-ECHBOLDRH$A1ECHDIR-c5fd43f6a3,1-BM-DRH,2,VOLDATAG,5a685ca12525b99975921414
200,TRVGRP-ECHBOLCOMA-C-591b3d7223,CPR339,2,VOLDATAG,5a685ca12525b99975921417
201,TRVGRP-ECHCOM-3bb2c1dc6a,HOL-Save-Abel ,2,VOLDATAG,5a685ca12525b9997592141a
202,TRVGRP-ECHCOM-3bb2c1dc6a,COMPTA_136,2,VOLDATAG,5a685ca12525b9997592141d
203,TRVGRP-ECHCOM-3bb2c1dc6a,COMPTA_000-PARTAGE,2,VOLDATAG,5a685ca12525b99975921420
204,TRVGRP-ECHDSIATO-48dbc63eca,ATOS-PTX,2,VOLDATAG,5a685ca12525b99975921423
205,TRVGRP-ECHBOLCOM-2e0eb82389,BM-DAF-COMPTA-CRYSTAL,2,VOLDATAG,5a685ca12525b99975921426
206,TRVGRP-ECHDSIPRORepCHG-3465dd61ea,LTU627,2,VOLDATAG,5a685ca12525b99975921429
207,TRVGRP-ECHDSIGESdocRESSEC-cc29d154fd,FLRU,2,VOLDATAG,5a685ca12525b9997592142c
208,TRVGRP-ECHDIR-a428650997,DirectMalin,2,VOLDATAG,5a685ca12525b99975921435
209,TRVGRP-ECHBOLCOM-add07bed19,EDDE,2,VOLDATAG,5a685ca12525b99975921438
210,TRVGRP-ECHCOM136Dos-81b5f0d6df,IMH411,2,VOLDATAG,5a685ca12525b9997592143b
211,TRVGRP-ECHCOM136Dos-81b5f0d6df,COMPTA-SMOG,2,VOLDATAG,5a685ca12525b9997592143e
212,TRVGRP-ECHBOLCAN-3137e21fcc,BGDN,2,VOLDATAG,5a685ca12525b99975921441
213,TRVGRP-ECHBOLCAN-3137e21fcc,QIA742,2,VOLDATAG,5a685ca12525b99975921444
214,TRVGRP-ECHBOLCAN-3137e21fcc,POB818,2,VOLDATAG,5a685ca12525b99975921447
215,TRVGRP-ECHBOLCAN-3137e21fcc,SWD610,2,VOLDATAG,5a685ca12525b9997592144a
216,TRVGRP-ECHBOLCAN-3137e21fcc,CHANTIER16,2,VOLDATAG,5a685ca12525b9997592144d
217,TRVGRP-ECHBOLCAN-3137e21fcc,CHANTIER8,2,VOLDATAG,5a685ca12525b99975921450
218,TRVGRP-ECHBFRHisBROECH-caa397eaa8,BFR,2,VOLDATAG,5a685ca12525b9997592145d
219,TRVGRP-ECHBFRHisECH-c6c6492b57,BFR,2,VOLDATAG,5a685ca12525b99975921460
220,TRVGRP-ECHDSIPROTW-3b7d37c6cc,DSI-PROJET-TW-MA2S,2,VOLDATAG,5a685ca12525b99975921463
221,TRVGRP-ECHJURBIBSOCGroCSTCor201SanECH-2594a8ece8,JUR_FIS_IND,2,VOLDATAG,5a685ca12525b99975921466
222,TRVGRP-ECHJURBIBSOCGroCSTCor201SanECHJUR-be4c8e064f,JUR_FIS_IND-BIBLIO,2,VOLDATAG,5a685ca12525b99975921469
223,TRVGRP-ECHDSIPROTRE-b5330be593,DSI-Tresorerie_PRA-FILR,2,VOLDATAG,5a685ca12525b9997592146c
