,_id,cn,dn,member
0,5a561c7b8a714b91a76ce8b7,L_BOL_PTX_FILR_FISCAL,"cn=L_BOL_PTX_FILR_FISCAL,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1","[['cn=LTTX,ou=FISCALITE,ou=BOLLORE,ou=PTX,o=GB1']]"
1,5a561c7b8a714b91a76ce8b9,IMP-CHAUFFEUR-DIRECTION-01_BACKUP,"cn=IMP-CHAUFFEUR-DIRECTION-01_BACKUP,ou=IPRINTERS,ou=PTX,o=GB1",[]
2,5a561c7b8a714b91a76ce8bb,IMP-CHAUFFEUR-DIRECTION-01,"cn=IMP-CHAUFFEUR-DIRECTION-01,ou=IPRINTERS,ou=PTX,o=GB1","[['cn=CHAUDIR2,ou=DIR-GENERALE,ou=BOLLORE,ou=PTX,o=GB1']]"
3,5a561c7b8a714b91a76ce8bd,G_ZCM_NOTES ANALYSTES,"cn=G_ZCM_NOTES ANALYSTES,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1","[['cn=CDAS,ou=CONSOLIDATION,ou=BOLLORE,ou=PTX,o=GB1', 'cn=ADVS,ou=CONTROLE-GEST,ou=BOLLORE,ou=PTX,o=GB1', 'cn=AMLI,ou=CONSOLIDATION,ou=BOLLORE,ou=PTX,o=GB1', 'cn=ASII,ou=CONSOLIDATION,ou=BOLLORE,ou=PTX,o=GB1', 'cn=FLRE,ou=DIR-FINANCIERE,ou=BOLLORE,ou=PTX,o=GB1', 'cn=CDBT,ou=DIR-PARTICIPATIONS,ou=BOLLORE,ou=PTX,o=GB1', 'cn=XLRY,ou=COMMUNICATION,ou=BOLLORE,ou=PTX,o=GB1']]"
4,5a561c7b8a714b91a76ce8bf,IMP-CAC-HOLDING-01_Backup,"cn=IMP-CAC-HOLDING-01_Backup,ou=IPRINTERS,ou=PTX,o=GB1",[]
5,5a561c7b8a714b91a76ce8c1,IMP-CAC-HOLDING-01,"cn=IMP-CAC-HOLDING-01,ou=IPRINTERS,ou=PTX,o=GB1",[]
6,5a561c7b8a714b91a76ce8c3,IMP-PROPINDUSTRIELLE-04-Backup,"cn=IMP-PROPINDUSTRIELLE-04-Backup,ou=IPRINTERS,ou=PTX,o=GB1","[['cn=JFRU,ou=PROP-INDUSTRIELLE,ou=BOLLORE,ou=PTX,o=GB1', 'cn=KGR,ou=PROP-INDUSTRIELLE,ou=BOLLORE,ou=PTX,o=GB1', 'cn=MGRD,ou=PROP-INDUSTRIELLE,ou=BOLLORE,ou=PTX,o=GB1', 'cn=MHBT,ou=PROP-INDUSTRIELLE,ou=BOLLORE,ou=PTX,o=GB1']]"
7,5a561c7b8a714b91a76ce8c5,IMP-PROPINDUSTRIELLE-04,"cn=IMP-PROPINDUSTRIELLE-04,ou=IPRINTERS,ou=PTX,o=GB1","[['cn=JFRU,ou=PROP-INDUSTRIELLE,ou=BOLLORE,ou=PTX,o=GB1', 'cn=KGR,ou=PROP-INDUSTRIELLE,ou=BOLLORE,ou=PTX,o=GB1', 'cn=MGRD,ou=PROP-INDUSTRIELLE,ou=BOLLORE,ou=PTX,o=GB1', 'cn=MHBT,ou=PROP-INDUSTRIELLE,ou=BOLLORE,ou=PTX,o=GB1', 'cn=MHFI,ou=INFOGERANCE,ou=PTX,o=GB1']]"
8,5a561c7b8a714b91a76ce8c7,L_BOL_PTX_FILR_ETUDES-MEDIAS,"cn=L_BOL_PTX_FILR_ETUDES-MEDIAS,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1","[['cn=GAND,ou=BOLLOREMEDIA,ou=MEDIA,ou=PTX,o=GB1']]"
9,5a561c7b8a714b91a76ce8c9,SecGenVeillejuridique,"cn=SecGenVeillejuridique,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1","[['cn=JLRE,ou=TRESORERIE,ou=BOLLORE,ou=PTX,o=GB1', 'cn=JLED,ou=COMMUNICATION,ou=BOLLORE,ou=PTX,o=GB1']]"
