,Group,MemberOf,ParentFolder,Path,Version,Volume,_id
28,TRVGRP-ECHDRHSer-985d7e9997,TRVGRP-ECHDRH-c69fcf1690,/ECHANGES/DRH Groupe,/ECHANGES/DRH Groupe/Service PYB,2,VOLDATAG,5a685ca02525b999759208e0
29,TRVGRP-ECHDRHSerDRH-086455cd03,TRVGRP-ECHDRHSer-985d7e9997,/ECHANGES/DRH Groupe/Service PYB,/ECHANGES/DRH Groupe/Service PYB/DRH Groupe,2,VOLDATAG,5a685ca02525b999759208f1
30,TRVGRP-ECHDSI-3bc46574ae,TRVGRP-ECH-1a3fc42d5a,/ECHANGES,/ECHANGES/DSI,2,VOLDATAG,5a685ca02525b999759208fc
31,TRVGRP-ECHDSIHot-a171d322a9,TRVGRP-ECHDSI-3bc46574ae,/ECHANGES/DSI,/ECHANGES/DSI/Hotline,2,VOLDATAG,5a685ca02525b9997592090f
32,TRVGRP-ECHDSIASS-ba1b961bc1,TRVGRP-ECHDSI-3bc46574ae,/ECHANGES/DSI,/ECHANGES/DSI/ASSISTANAT,2,VOLDATAG,5a685ca02525b99975920936
33,TRVGRP-ECHDSIApp-4f3974a390,TRVGRP-ECHDSI-3bc46574ae,/ECHANGES/DSI,/ECHANGES/DSI/Applis_Bollore,2,VOLDATAG,5a685ca02525b99975920945
34,TRVGRP-ECHDSIAppENA-0da1aec6e5,TRVGRP-ECHDSIApp-4f3974a390,/ECHANGES/DSI/Applis_Bollore,/ECHANGES/DSI/Applis_Bollore/ENABLON_DD,2,VOLDATAG,5a685ca02525b99975920956
35,TRVGRP-ECHDSIGESdocRES-96d5ec7046,TRVGRP-ECHDSIGESdoc-9848356a3d,/ECHANGES/DSI/GESTION DOCS PRODUCTION/documents actifs,/ECHANGES/DSI/GESTION DOCS PRODUCTION/documents actifs/RESEAU-SECURITE,2,VOLDATAG,5a685ca02525b99975920961
36,TRVGRP-ECHDSIGESdoc-9848356a3d,TRVGRP-ECHDSIGES-873611f5bd,/ECHANGES/DSI/GESTION DOCS PRODUCTION,/ECHANGES/DSI/GESTION DOCS PRODUCTION/documents actifs,2,VOLDATAG,5a685ca02525b99975920964
37,TRVGRP-ECHDSIGES-873611f5bd,TRVGRP-ECHDSI-3bc46574ae,/ECHANGES/DSI,/ECHANGES/DSI/GESTION DOCS PRODUCTION,2,VOLDATAG,5a685ca02525b99975920967
38,TRVGRP-ECHDSIPRO-9f6de63474,TRVGRP-ECHDSI-3bc46574ae,/ECHANGES/DSI,/ECHANGES/DSI/PROJETS,2,VOLDATAG,5a685ca02525b99975920970
39,TRVGRP-ECHBOLDSIMEDRégEDI-b09bd3e863,TRVGRP-ECHBOLDSIMEDRég-267d450f1a,/ECHANGES/BOLLOREMEDIA/DSI-MEDIAS/MED-PROJETS/Régie,/ECHANGES/BOLLOREMEDIA/DSI-MEDIAS/MED-PROJETS/Régie/EDI,2,VOLDATAG,5a685ca02525b999759209c1
40,TRVGRP-ECHBOLDSIMEDRég-267d450f1a,TRVGRP-ECHBOLDSIMED-3b9f17fad4,/ECHANGES/BOLLOREMEDIA/DSI-MEDIAS/MED-PROJETS,/ECHANGES/BOLLOREMEDIA/DSI-MEDIAS/MED-PROJETS/Régie,2,VOLDATAG,5a685ca02525b999759209c4
41,TRVGRP-ECHBOLDSIMED-3b9f17fad4,TRVGRP-ECHBOLDSI-b5b9877340,/ECHANGES/BOLLOREMEDIA/DSI-MEDIAS,/ECHANGES/BOLLOREMEDIA/DSI-MEDIAS/MED-PROJETS,2,VOLDATAG,5a685ca02525b999759209c7
42,TRVGRP-ECHBOLDSI-b5b9877340,TRVGRP-ECHBOL-e855b53158,/ECHANGES/BOLLOREMEDIA,/ECHANGES/BOLLOREMEDIA/DSI-MEDIAS,2,VOLDATAG,5a685ca02525b999759209ca
43,TRVGRP-ECHFIL-20409620ed,TRVGRP-ECH-1a3fc42d5a,/ECHANGES,/ECHANGES/FILMS,2,VOLDATAG,5a685ca02525b99975920a11
44,TRVGRP-ECHIMM-3a3ed356fb,TRVGRP-ECH-1a3fc42d5a,/ECHANGES,/ECHANGES/IMMOBILIER,2,VOLDATAG,5a685ca02525b99975920a2a
45,TRVGRP-ECHJUR-5cadf3508f,TRVGRP-ECH-1a3fc42d5a,/ECHANGES,/ECHANGES/JUR_FIS_IND,2,VOLDATAG,5a685ca02525b99975920a31
46,TRVGRP-ECHJURBIBSOC-0f40ea3898,TRVGRP-ECHJURBIB-ee4315ec1c,/ECHANGES/JUR_FIS_IND/BIBLIO.JUR,/ECHANGES/JUR_FIS_IND/BIBLIO.JUR/SOCIETES,2,VOLDATAG,5a685ca02525b99975920a5c
47,TRVGRP-ECHJURBIB-ee4315ec1c,TRVGRP-ECHJUR-5cadf3508f,/ECHANGES/JUR_FIS_IND,/ECHANGES/JUR_FIS_IND/BIBLIO.JUR,2,VOLDATAG,5a685ca02525b99975920a5f
48,TRVGRP-ECHJURDOC-3e4c079e99,TRVGRP-ECHJUR-5cadf3508f,/ECHANGES/JUR_FIS_IND,/ECHANGES/JUR_FIS_IND/DOC_OLD,2,VOLDATAG,5a685ca02525b99975920a72
49,TRVGRP-ECHJURBIBSOCBluBlu-6d63a1ecb1,TRVGRP-ECHJURBIBSOCBlu-09187800c2,/ECHANGES/JUR_FIS_IND/BIBLIO.JUR/SOCIETES/Blue Applications,/ECHANGES/JUR_FIS_IND/BIBLIO.JUR/SOCIETES/Blue Applications/Blue France,2,VOLDATAG,5a685ca02525b99975920a7b
50,TRVGRP-ECHJURBIBSOCBlu-09187800c2,TRVGRP-ECHJURBIBSOC-0f40ea3898,/ECHANGES/JUR_FIS_IND/BIBLIO.JUR/SOCIETES,/ECHANGES/JUR_FIS_IND/BIBLIO.JUR/SOCIETES/Blue Applications,2,VOLDATAG,5a685ca02525b99975920a7e
51,TRVGRP-ECHJURFISA--6329bb79f4,TRVGRP-ECHJURFIS-1923d3108a,/ECHANGES/JUR_FIS_IND/FISCAL,/ECHANGES/JUR_FIS_IND/FISCAL/A - TP,2,VOLDATAG,5a685ca02525b99975920a8b
52,TRVGRP-ECHJURFIS-1923d3108a,TRVGRP-ECHJUR-5cadf3508f,/ECHANGES/JUR_FIS_IND,/ECHANGES/JUR_FIS_IND/FISCAL,2,VOLDATAG,5a685ca02525b99975920a8e
53,TRVGRP-ECHJURFISSEC-dc967c849c,TRVGRP-ECHJURFIS-1923d3108a,/ECHANGES/JUR_FIS_IND/FISCAL,/ECHANGES/JUR_FIS_IND/FISCAL/SECRETARIAT,2,VOLDATAG,5a685ca02525b99975920a97
54,TRVGRP-ECHNET-3f3cfc2e87,TRVGRP-ECH-1a3fc42d5a,/ECHANGES,/ECHANGES/NETTING,2,VOLDATAG,5a685ca02525b99975920ab6
55,TRVGRP-ECHBOLCANEnC-ef7f090b2f,TRVGRP-ECHBOLCAN-3137e21fcc,/ECHANGES/BOLLOREMEDIA/CANAL-PLUS-MEDIAS,/ECHANGES/BOLLOREMEDIA/CANAL-PLUS-MEDIAS/EnCours,2,VOLDATAG,5a685ca02525b99975920abd
56,TRVGRP-ECHBOLCAN-3137e21fcc,TRVGRP-ECHBOL-e855b53158,/ECHANGES/BOLLOREMEDIA,/ECHANGES/BOLLOREMEDIA/CANAL-PLUS-MEDIAS,2,VOLDATAG,5a685ca02525b99975920ac0
57,TRVGRP-ECHBOLCANEnv-4f49939726,TRVGRP-ECHBOLCAN-3137e21fcc,/ECHANGES/BOLLOREMEDIA/CANAL-PLUS-MEDIAS,/ECHANGES/BOLLOREMEDIA/CANAL-PLUS-MEDIAS/Envoi,2,VOLDATAG,5a685ca02525b99975920add
