,Filter,Path,Version,Volume,_id
0,,/,2,VOLDATAH,5a67c1c62525b99975919eea
1,s,/~DFSINFO.8-P,2,VOLDATAH,5a67c1c62525b99975919eec
2,s,/._NETWARE,2,VOLDATAH,5a67c1c62525b99975919eee
3,rfs,/HOME/REGIE1/Messagerie,2,VOLDATAH,5a67c1c72525b9997591a177
4,rfs,/HOME/INVENTAIRE/inventaire.bat,2,VOLDATAH,5a67c1c82525b9997591a479
5,rwcfms,/HOME/INVENTAIRE/OK,2,VOLDATAH,5a67c1c82525b9997591a47f
6,s,/HOME/ICUN/RESTAURATION G-Bernier/CHAVANES,2,VOLDATAH,5a67c1c82525b9997591a483
7,s,/HOME/ICUN/RESTAURATION G-Bernier/transfertNFA,2,VOLDATAH,5a67c1c82525b9997591a487
8,s,/._NETWARE/.trustee_database.xml,2,VOLDATAH,5a67c1c92525b9997591a53b
