,TID,Version,Volume,_id,name,path,rights
24,6652fbc3-a164-42cc-f1-a8-c3fb526664a1,2,VOLDATAH,5a67c1c62525b99975919f20,.CN=ALFT.OU=MATINPLUS.OU=MEDIA.OU=PTX.O=GB1.T=CERAMIC_TREE.,/HOME/ALFT,rwcefm
25,e01f376d-d5c2-4b94-ce-ab-6d371fe0c2d5,2,VOLDATAH,5a67c1c62525b99975919f22,.CN=AMRX.OU=FISCALITE.OU=BOLLORE.OU=PTX.O=GB1.T=CERAMIC_TREE.,/HOME/AMRX,rwcefm
26,539cbe67-5a00-11d7-9c-63-00065bf0bb66,2,VOLDATAH,5a67c1c62525b99975919f24,.CN=KDE014.OU=JURIDIQUE.OU=BOLLORE.OU=PTX.O=GB1.T=CERAMIC_TREE.,/HOME/AMSL,rwcefm
27,5a39380d-87a4-44dd-fd-b2-0d38395aa487,2,VOLDATAH,5a67c1c62525b99975919f26,.CN=SHW644.OU=DIR-FINANCIERE.OU=BOLLORE.OU=PTX.O=GB1.T=CERAMIC_TREE.,/HOME/AMSS,rwcefm
28,539cbe6c-5a00-11d7-9c-63-00065bf0bb66,2,VOLDATAH,5a67c1c62525b99975919f28,.CN=BDV628.OU=FONDATION.OU=BOLLORE.OU=PTX.O=GB1.T=CERAMIC_TREE.,/HOME/AMTO,rwcefm
29,fc483b80-6951-11d9-bb-e2-00c09f2354bb,2,VOLDATAH,5a67c1c62525b99975919f2a,.CN=archives.OU=IRIS.OU=PTX.O=GB1.T=CERAMIC_TREE.,/HOME/archives,rwcefm
30,fb19ee00-aad8-11db-9c-65-00065bf0bb66,2,VOLDATAH,5a67c1c62525b99975919f2c,.CN=RJJ625.OU=BOLLOREMEDIA.OU=MEDIA.OU=PTX.O=GB1.T=CERAMIC_TREE.,/HOME/ARLS,rwcefm
31,741f4880-a780-11d9-bb-e3-00c09f2354bb,2,VOLDATAH,5a67c1c62525b99975919f2e,.CN=QWM698.OU=DIR-IMMOBILIER.OU=BOLLORE.OU=PTX.O=GB1.T=CERAMIC_TREE.,/HOME/ASAA,rwcefm
32,54355480-5a00-11d7-9c-63-00065bf0bb66,2,VOLDATAH,5a67c1c62525b99975919f30,.CN=PRL684.OU=DRH-GROUPE.OU=BOLLORE.OU=PTX.O=GB1.T=CERAMIC_TREE.,/HOME/ASAI,rwcefm
33,2cdbc279-1bff-4bc5-5d-a8-79c2db2cff1b,2,VOLDATAH,5a67c1c62525b99975919f32,.CN=ASFT.OU=BOLLOREMEDIAREGIE.OU=MEDIA.OU=PTX.O=GB1.T=CERAMIC_TREE.,/HOME/ASFT,rwcefm
34,02c53d80-8ad9-11dd-9c-65-00065bf0bb66,2,VOLDATAH,5a67c1c62525b99975919f34,.CN=UYN913.OU=CONSOLIDATION.OU=BOLLORE.OU=PTX.O=GB1.T=CERAMIC_TREE.,/HOME/ASII,rwcefm
35,85821f80-0181-11de-9c-65-00065bf0bb66,2,VOLDATAH,5a67c1c62525b99975919f36,.CN=ASRR.OU=DIR-ACHATS.OU=BOLLORE.OU=PTX.O=GB1.T=CERAMIC_TREE.,/HOME/ASRR,rwcefm
36,c395ef80-cd85-11dc-84-f0-00c09f2354bb,2,VOLDATAH,5a67c1c62525b99975919f38,.CN=FZU550.OU=BOLLOREMEDIAREGIE.OU=MEDIA.OU=PTX.O=GB1.T=CERAMIC_TREE.,/HOME/ASTE,rwcefm
37,54355488-5a00-11d7-9c-63-00065bf0bb66,2,VOLDATAH,5a67c1c62525b99975919f3a,.CN=HKU340.OU=TRESORERIE.OU=BOLLORE.OU=PTX.O=GB1.T=CERAMIC_TREE.,/HOME/ATXR,rwcefm
38,fac2f280-772e-11d7-9c-64-00065bf0bb66,2,VOLDATAH,5a67c1c62525b99975919f3c,.CN=AUDIT_MAF.OU=AUDIT.OU=BOLLORE.OU=PTX.O=GB1.T=CERAMIC_TREE.,/HOME/AUDIT_MAF,rwcefm
39,11e59916-3489-4dbf-00-85-1699e5118934,2,VOLDATAH,5a67c1c62525b99975919f3e,.CN=AUTOLIB1.OU=BLUECAR.OU=PTX.O=GB1.T=CERAMIC_TREE.,/HOME/AUTOLIB1,rwcefm
40,4b344968-ac4b-42f7-ff-88-6849344b4bac,2,VOLDATAH,5a67c1c62525b99975919f40,.CN=AUTOLIB2.OU=BLUECAR.OU=PTX.O=GB1.T=CERAMIC_TREE.,/HOME/AUTOLIB2,rwcefm
41,7cefdc4b-6e76-4a64-63-90-4bdcef7c766e,2,VOLDATAH,5a67c1c62525b99975919f42,.CN=AUTOLIB3.OU=BLUECAR.OU=PTX.O=GB1.T=CERAMIC_TREE.,/HOME/AUTOLIB3,rwcefm
42,4bc91880-090c-11dc-b3-9c-00065bf7dbc8,2,VOLDATAH,5a67c1c62525b99975919f44,.CN=FTF389.OU=DSI.OU=BOLLORE.OU=PTX.O=GB1.T=CERAMIC_TREE.,/HOME/AVCT,rwcefm
43,3d054f15-a71a-4c69-37-af-154f053d1aa7,2,VOLDATAH,5a67c1c62525b99975919f46,.CN=AVNE.OU=MATINPLUS.OU=MEDIA.OU=PTX.O=GB1.T=CERAMIC_TREE.,/HOME/AVNE,rwcefm
44,a575d880-c74b-11db-b3-9b-00065bf7dbc8,2,VOLDATAH,5a67c1c62525b99975919f48,.CN=OVQ256.OU=MATINPLUS.OU=MEDIA.OU=PTX.O=GB1.T=CERAMIC_TREE.,/HOME/AZZA,rwcefm
