,Path,Rights,SAMAccountName,Scope,Type,Version,Volume,_id
116,/ECHANGES/DIRGENE/Filemaker,"Read,ReadAndExecute,Synchronize,Write,Delete,CreateFiles,CreateDirectories,Modify,ListDirectory",YRX187,ThisFolderSubFoldersAndFiles,UsualConvertedRight,2,VOLDATAG,5a685c9f2525b999759203ad
117,/ECHANGES/DISTRIB-PRESSE/MEDIAPILOT,"Read,ReadAndExecute,Synchronize,Write,Delete,CreateFiles,CreateDirectories,Modify,ListDirectory",DP-MEDIAPILOT,ThisFolderSubFoldersAndFiles,UsualConvertedRight,2,VOLDATAG,5a685c9f2525b999759203af
118,/ECHANGES/DISTRIB-PRESSE/Archives jusqu'à 2014/RESEAU-DEPOT,"Read,ReadAndExecute,Synchronize,Write,Delete,CreateFiles,CreateDirectories,Modify,ListDirectory,ReadPermissions,ChangePermissions",DP-RESEAU-DEPOT,ThisFolderSubFoldersAndFiles,UsualConvertedRight,2,VOLDATAG,5a685c9f2525b999759203b1
119,/ECHANGES/DRH Groupe/Administration RH,"Read,ReadAndExecute,Synchronize,Write,Delete,CreateFiles,CreateDirectories,Modify,ListDirectory",DRHGRPADMIN,ThisFolderSubFoldersAndFiles,UsualConvertedRight,2,VOLDATAG,5a685c9f2525b999759203b3
120,/ECHANGES/DRH Groupe/Service CK,"Read,ReadAndExecute,Synchronize,Write,Delete,CreateFiles,CreateDirectories,Modify,ListDirectory",GOM853,ThisFolderSubFoldersAndFiles,UsualConvertedRight,2,VOLDATAG,5a685c9f2525b999759203b5
121,/ECHANGES/DRH Groupe/Service CK,"Read,ReadAndExecute,Synchronize,Write,Delete,CreateFiles,CreateDirectories,Modify,ListDirectory",DMP301,ThisFolderSubFoldersAndFiles,UsualConvertedRight,2,VOLDATAG,5a685c9f2525b999759203b7
122,/ECHANGES/DRH Groupe/Service XB,"Read,ReadAndExecute,Synchronize,Write,Delete,CreateFiles,CreateDirectories,Modify,ListDirectory",DRHGRP-Service_XB,ThisFolderSubFoldersAndFiles,UsualConvertedRight,2,VOLDATAG,5a685c9f2525b999759203b9
123,/ECHANGES/DRH Groupe/Dev DRH,"Read,ReadAndExecute,Synchronize,Write,Delete,CreateFiles,CreateDirectories,Modify,ListDirectory",DRHGRP_DEVRH,ThisFolderSubFoldersAndFiles,UsualConvertedRight,2,VOLDATAG,5a685c9f2525b999759203bb
124,/ECHANGES/DRH Groupe/Service CK/03_SIRH/HR Access/Documentation Hraccess/Procédures Collecte_IFC_NRE/Actuariat,"Read,ReadAndExecute,Synchronize,Write,Delete,CreateFiles,CreateDirectories,Modify,ListDirectory",DRHGRP-ACTUARIAT,ThisFolderSubFoldersAndFiles,UsualConvertedRight,2,VOLDATAG,5a685c9f2525b999759203bd
125,/ECHANGES/DRH Groupe/Service CK/01_Rémunérations/03_Epargne Salariale,"Read,ReadAndExecute,Synchronize,Write,Delete,CreateFiles,CreateDirectories,Modify,ListDirectory",DRHGRP-EPARGNESALA,ThisFolderSubFoldersAndFiles,UsualConvertedRight,2,VOLDATAG,5a685c9f2525b999759203bf
126,/ECHANGES/DRH Groupe/Service CK/01_Rémunérations/02_Procédures RH Groupe,"Read,ReadAndExecute,Synchronize,Write,Delete,CreateFiles,CreateDirectories,Modify,ListDirectory",DRHGRP-PROCEDURE,ThisFolderSubFoldersAndFiles,UsualConvertedRight,2,VOLDATAG,5a685c9f2525b999759203c1
127,/ECHANGES/DRH Groupe/Service CK/02_Protection Sociale,"Read,ReadAndExecute,Synchronize,Write,Delete,CreateFiles,CreateDirectories,Modify,ListDirectory",DRHGRP-PRTECTSOC,ThisFolderSubFoldersAndFiles,UsualConvertedRight,2,VOLDATAG,5a685c9f2525b999759203c3
128,/ECHANGES/DRH Groupe/Service CK/99_Reporting social,"Read,ReadAndExecute,Synchronize,Write,Delete,CreateFiles,CreateDirectories,Modify,ListDirectory",DRHGRP-REPORTSOCIAL,ThisFolderSubFoldersAndFiles,UsualConvertedRight,2,VOLDATAG,5a685c9f2525b999759203c5
129,/ECHANGES/DRH Groupe/Service CK/01_Rémunérations/01_Gestion Rémunérations,"Read,ReadAndExecute,Synchronize,Write,Delete,CreateFiles,CreateDirectories,Modify,ListDirectory",DRHGRP-REMUNERATIONS,ThisFolderSubFoldersAndFiles,UsualConvertedRight,2,VOLDATAG,5a685c9f2525b999759203c7
130,/ECHANGES/DRH Groupe/Service CK/10_Secrétariat,"Read,ReadAndExecute,Synchronize,Write,Delete,CreateFiles,CreateDirectories,Modify,ListDirectory",DRHGRP-SECRETCK,ThisFolderSubFoldersAndFiles,UsualConvertedRight,2,VOLDATAG,5a685c9f2525b999759203c9
131,/ECHANGES/DRH Groupe/Service CK/03_SIRH,"Read,ReadAndExecute,Synchronize,Write,Delete,CreateFiles,CreateDirectories,Modify,ListDirectory",DRHGRP-SIRH,ThisFolderSubFoldersAndFiles,UsualConvertedRight,2,VOLDATAG,5a685c9f2525b999759203cb
132,/ECHANGES/DRH Groupe/Service CK/98_Développement RH,"Read,ReadAndExecute,Synchronize,Write,Delete,CreateFiles,CreateDirectories,Modify,ListDirectory",DRHGRP-EPARGNESALA,ThisFolderSubFoldersAndFiles,UsualConvertedRight,2,VOLDATAG,5a685c9f2525b999759203cd
133,/ECHANGES/DRH Groupe/Service CK/98_Développement RH/06_CONFERENCE,"Read,ReadAndExecute,Synchronize,Write,Delete,CreateFiles,CreateDirectories,Modify,ListDirectory,ReadPermissions,ChangePermissions",DRHGRP-CK-PHILOMANIA,ThisFolderSubFoldersAndFiles,UsualConvertedRight,2,VOLDATAG,5a685c9f2525b999759203cf
134,/ECHANGES/DRH Groupe/Service CK/01_Rémunérations/01_Gestion Rémunérations/11-Révisions Salariales BOLLORE,"Read,ReadAndExecute,Synchronize,Write,Delete,CreateFiles,CreateDirectories,Modify,ListDirectory",DRHGRP-REV-SALARIALES,ThisFolderSubFoldersAndFiles,UsualConvertedRight,2,VOLDATAG,5a685c9f2525b999759203d1
135,/ECHANGES/DRH Groupe/Service CK/03_SIRH/Archives_GW_SIRH,"Read,ReadAndExecute,Synchronize,Write,Delete,CreateFiles,CreateDirectories,Modify,ListDirectory",FJC136,ThisFolderSubFoldersAndFiles,UsualConvertedRight,2,VOLDATAG,5a685c9f2525b999759203d3
136,/ECHANGES/DRH Groupe/Service CK/03_SIRH/HRa Suite 7,"Read,ReadAndExecute,Synchronize,Write,Delete,CreateFiles,CreateDirectories,Modify,ListDirectory",DRHGRP-SIRH-HRASUITE7,ThisFolderSubFoldersAndFiles,UsualConvertedRight,2,VOLDATAG,5a685c9f2525b999759203d5
137,/ECHANGES/DRH Groupe/Service CK/03_SIRH/HR Access/Documentation Hraccess/Procédures Collecte_IFC_NRE,"Read,ReadAndExecute,Synchronize,Write,Delete,CreateFiles,CreateDirectories,Modify,ListDirectory",AHG951,ThisFolderSubFoldersAndFiles,UsualConvertedRight,2,VOLDATAG,5a685c9f2525b999759203d7
138,/ECHANGES/DRH Groupe/Service CK/03_SIRH/HR Access/Documentation Hraccess/Procédures Collecte_IFC_NRE,"Read,ReadAndExecute,Synchronize,Write,Delete,CreateFiles,CreateDirectories,Modify,ListDirectory",QBG635,ThisFolderSubFoldersAndFiles,UsualConvertedRight,2,VOLDATAG,5a685c9f2525b999759203d9
139,/ECHANGES/DRH Groupe/Service CK/03_SIRH/HR Access/Documentation Hraccess/Procédures Collecte_IFC_NRE/NRE,"Read,ReadAndExecute,Synchronize,Write,Delete,CreateFiles,CreateDirectories,Modify,ListDirectory",AKZ523,ThisFolderSubFoldersAndFiles,UsualConvertedRight,2,VOLDATAG,5a685c9f2525b999759203db
140,/ECHANGES/DRH Groupe/Service JC/Juridique et Protection Sociale,"Read,ReadAndExecute,Synchronize,Write,Delete,CreateFiles,CreateDirectories,Modify,ListDirectory",DRHGRP-JURPROTECSOC,ThisFolderSubFoldersAndFiles,UsualConvertedRight,2,VOLDATAG,5a685c9f2525b999759203dd
141,/ECHANGES/DRH Groupe/Service PYB/DRH Groupe,"Read,ReadAndExecute,Synchronize,Write,Delete,CreateFiles,CreateDirectories,Modify,ListDirectory",DRHGRP-SECRETDRHGRP,ThisFolderSubFoldersAndFiles,UsualConvertedRight,2,VOLDATAG,5a685c9f2525b999759203df
142,/ECHANGES/DRH Groupe/Service PYB/Secrétariat PYB,"Read,ReadAndExecute,Synchronize,Write,Delete,CreateFiles,CreateDirectories,Modify,ListDirectory",DRHGRP-SECRETPYB,ThisFolderSubFoldersAndFiles,UsualConvertedRight,2,VOLDATAG,5a685c9f2525b999759203e1
143,/ECHANGES/DRH Groupe/Service PYB/DRH Groupe/13. Initiés,"Read,ReadAndExecute,Synchronize,Write,Delete,CreateFiles,CreateDirectories,Modify,ListDirectory",BQF210,ThisFolderSubFoldersAndFiles,UsualConvertedRight,2,VOLDATAG,5a685c9f2525b999759203e3
144,/ECHANGES/DSI/Applis_Bollore,"Read,ReadAndExecute,Synchronize,Write,Delete,CreateFiles,CreateDirectories,Modify,ListDirectory",ATOS,ThisFolderSubFoldersAndFiles,UsualConvertedRight,2,VOLDATAG,5a685c9f2525b999759203e5
145,/ECHANGES/DSI/BASES_CONNAISSANCES,"Read,ReadAndExecute,Synchronize,Write,Delete,CreateFiles,CreateDirectories,Modify,ListDirectory",ATOS,ThisFolderSubFoldersAndFiles,UsualConvertedRight,2,VOLDATAG,5a685c9f2525b999759203e7
146,/ECHANGES/DSI/DOCUMENTATION,"Read,ReadAndExecute,Synchronize,Write,Delete,CreateFiles,CreateDirectories,Modify,ListDirectory",ATOS,ThisFolderSubFoldersAndFiles,UsualConvertedRight,2,VOLDATAG,5a685c9f2525b999759203e9
147,/ECHANGES/DSI/Hotline/EXPLOITATION,"Read,ReadAndExecute,Synchronize,Write,Delete,CreateFiles,CreateDirectories,Modify,ListDirectory",ATOS,ThisFolderSubFoldersAndFiles,UsualConvertedRight,2,VOLDATAG,5a685c9f2525b999759203eb
