,Filter,Path,Volume,_id
0,,/,VOLDATAH,5a0c05c86be3647bbe196ec2
1,s,/~DFSINFO.8-P,VOLDATAH,5a0c05c86be3647bbe196ec4
2,s,/._NETWARE,VOLDATAH,5a0c05c86be3647bbe196ec6
3,rfs,/HOME/REGIE1/Messagerie,VOLDATAH,5a0c05c86be3647bbe19714c
4,rfs,/HOME/INVENTAIRE/inventaire.bat,VOLDATAH,5a0c05c96be3647bbe197457
5,rwcfms,/HOME/INVENTAIRE/OK,VOLDATAH,5a0c05c96be3647bbe19745d
6,s,/HOME/ICUN/RESTAURATION G-Bernier/CHAVANES,VOLDATAH,5a0c05c96be3647bbe197461
7,s,/HOME/ICUN/RESTAURATION G-Bernier/transfertNFA,VOLDATAH,5a0c05c96be3647bbe197465
8,s,/._NETWARE/.trustee_database.xml,VOLDATAH,5a0c05c96be3647bbe197467
