GroupeAD,samAccountName,nombre de membres
GRP_s0040,s0040,0
GRP_s0070,s0070,0
GRP_s0074,s0074,0
GRP_s0075,s0075,0
GRP_s0087,s0087,0
GRP_s0088,s0088,0
GRP_s0089,s0089,0
GRP_s0090,s0090,71
GRP_s0091,s0091,0
GRP_s0092,s0092,0
GRP_s0097,s0097,0
GRP_s0100,s0100,0
GRP_s0104,s0104,0
GRP_s0105,s0105,0
GRP_s0109,s0109,0
GRP_s0110,s0110,0
GRP_s0119,s0119,0
GRP_s0120,s0120,0
GRP_s0150,s0150,0
GRP_s0199,s0199,0
GRP_s0200,s0200,0
GRP_s0210,s0210,0
GRP_s0211,s0211,0
GRP_s0212,s0212,0
GRP_s0213,s0213,0
GRP_s0214,s0214,0
GRP_s0218,s0218,0
GRP_s0219,s0219,0
GRP_s0220,s0220,0
GRP_s0221,s0221,0
GRP_s0223,s0223,0
GRP_s0225,s0225,0
GRP_s0226,s0226,0
GRP_s0227,s0227,0
GRP_s0228,s0228,0
GRP_s0229,s0229,0
GRP_s0232,s0232,0
GRP_s0233,s0233,0
GRP_s0234,s0234,0
GRP_s0240,s0240,0
GRP_s0260,s0260,0
GRP_s0261,s0261,0
GRP_s0262,s0262,0
GRP_s0263,s0263,0
GRP_s0264,s0264,0
GRP_s0265,s0265,0
GRP_s0270,s0270,0
GRP_s0271,s0271,0
GRP_s0273,s0273,0
GRP_s0274,s0274,0
GRP_s0275,s0275,0
GRP_s0276,s0276,0
GRP_s0277,s0277,0
GRP_s0278,s0278,0
GRP_s0280,s0280,0
GRP_s0281,s0281,0
GRP_s0282,s0282,0
GRP_s0283,s0283,0
GRP_s0290,s0290,0
GRP_s0301,s0301,0
GRP_s0306,s0306,0
GRP_s0312,s0312,0
GRP_s0313,s0313,0
GRP_s0314,s0314,0
GRP_s0315,s0315,0
GRP_s0316,s0316,0
GRP_s0317,s0317,0
GRP_s0320,s0320,0
GRP_s0405,s0405,0
GRP_s0406,s0406,0
GRP_s0407,s0407,0
GRP_s0410,s0410,0
GRP_s0413,s0413,0
GRP_s0414,s0414,0
GRP_s0415,s0415,0
GRP_s0417,s0417,0
GRP_s0418,s0418,0
GRP_s0425,s0425,0
GRP_s0426,s0426,0
GRP_s0427,s0427,0
GRP_s0428,s0428,0
GRP_s0439,s0439,0
GRP_s0444,s0444,0
GRP_s0446,s0446,0
GRP_s0447,s0447,0
GRP_s0448,s0448,0
GRP_s0449,s0449,0
GRP_s0450,s0450,0
GRP_s0451,s0451,0
GRP_s0452,s0452,0
GRP_s0453,s0453,0
GRP_s0455,s0455,0
GRP_s0456,s0456,0
GRP_s0457,s0457,0
GRP_s0463,s0463,0
GRP_s0466,s0466,0
GRP_s0467,s0467,0
GRP_s0468,s0468,0
GRP_s0469,s0469,0
GRP_s0472,s0472,0
GRP_s0477,s0477,0
GRP_s0480,s0480,3
GRP_s0481,s0481,0
GRP_s0482,s0482,0
GRP_s0493,s0493,0
GRP_s0495,s0495,0
GRP_s0496,s0496,0
GRP_s0497,s0497,0
GRP_s0498,s0498,0
GRP_s0499,s0499,0
GRP_s0500,s0500,0
GRP_s0501,s0501,0
GRP_s0503,s0503,0
GRP_s0504,s0504,0
GRP_s0505,s0505,0
GRP_s0506,s0506,0
GRP_s0507,s0507,0
