GroupeAD,samAccountName,nombre de membres
3711,3711,48
3720,3720,57
3730,3730,57
3740,3740,49
3750,3750,53
3760,3760,37
3770,3770,51
3771,3771,0
CCT,CCT,0
EKD,EKD,0
0434,0434,0
0508,0508,0
0604,0604,0
0670,0670,0
0671,0671,0
0672,0672,0
0782,0782,72
0610,0610,0
