#	This file was generated on 2016-11-04 at 16:11:26
#	by Softerra LDAP Browser 4.5 [ http://www.ldapadministrator.com ]
DN,sAMAccountName
"CN=HelpServicesGroup,OU=Users Groups,DC=acy,DC=lan","HelpServicesGroup"
"CN=GPO_TESTS,OU=Users Groups,DC=acy,DC=lan","GPO_TESTS"
"CN=Orthographe_Word,OU=Users Groups,DC=acy,DC=lan","Orthographe_Word"
"CN=SQLServer2005NotificationServicesUser$DC2,CN=Users,DC=acy,DC=lan","SQLServer2005NotificationServicesUser$DC2"
"CN=AssistantesNovel,OU=Groups,OU=Annecy,DC=acy,DC=lan","$8K7000-5SU2P1RHJPA0"
"CN=E-Sedit_mry,OU=Groups,OU=Annecy,DC=acy,DC=lan","$TH7000-IKD7RTVV1KTN"
"CN=Games_mry,OU=Groups,OU=Annecy,DC=acy,DC=lan","$HJ7000-J8SEGDDS3U7M"
"CN=Sherpas,OU=Users Groups,DC=acy,DC=lan","Sherpas"
"CN=DomainePublic,OU=Groups,OU=Annecy,DC=acy,DC=lan","$2H7000-FE1JF87LVFLR"
"CN=Urba_mry,OU=Groups,OU=Annecy,DC=acy,DC=lan","$6K8000-F4S6IO0JDQI6"
"CN=Maires-adjoints,OU=Users Groups,DC=acy,DC=lan","Maires-adjoints"
"CN=Installateurs,OU=Users Groups,DC=acy,DC=lan","Installateurs"
"CN=OperateursPrisma,OU=Users Groups,DC=acy,DC=lan","OperateursPrisma"
"CN=Batiment_mry,OU=Groups,OU=Annecy,DC=acy,DC=lan","$IG7000-AQM8R7OPVTFI"
"CN=Voirie,OU=Users Groups,DC=acy,DC=lan","Voirie"
"CN=Batiment,OU=Users Groups,DC=acy,DC=lan","Batiment"
"CN=Batiment-Etudes,OU=Users Groups,DC=acy,DC=lan","Batiment-Etudes"
"CN=Directio_mry,OU=Groups,OU=Annecy,DC=acy,DC=lan","$0H7000-V9RAN59A1TOK"
"CN=Groupement_mry,OU=Groups,OU=Annecy,DC=acy,DC=lan","$AK7000-V0P2HTSJB55N"
"CN=BusinessObjects,OU=Users Groups,DC=acy,DC=lan","BusinessObjects"
"CN=BIJ,OU=B.I.J,OU=Jeunesse,OU=Enfance Jeunesse Culture,OU=3-DSOSFI,DC=acy,DC=lan","BIJ"
"CN=Intranet-limites,OU=Groups,OU=Annecy,DC=acy,DC=lan","$EJ7000-73P469PI66T5"
"CN=Carbu,OU=Users Groups,DC=acy,DC=lan","Carbu"
"CN=_test_olfeo_mry,OU=Groups,OU=Annecy,DC=acy,DC=lan","$2L7000-GQVB9BS1N8VK"
"CN=Admins_Vmware,OU=Administrateurs,OU=Informatique,OU=3-DSOSFI,DC=acy,DC=lan","Admins_Vmware"
"CN=Arcadium_mry,OU=Groups,OU=Annecy,DC=acy,DC=lan","$RF7000-U8V1GQ056ALC"
"CN=Enseigne_mry,OU=Groups,OU=Annecy,DC=acy,DC=lan","$SH7000-RCV57PD435HV"
"CN=Utilisateurs_View,OU=Vmware View,OU=Informatique,OU=3-DSOSFI,DC=acy,DC=lan","Utilisateurs_View"
"CN=PropreteUrbaine,OU=Groups,OU=Annecy,DC=acy,DC=lan","$QF7000-1PQA9D70PUS1"
"CN=Cimetières,OU=Users Groups,DC=acy,DC=lan","Cimetières"
"CN=Culturel_mry,OU=Groups,OU=Annecy,DC=acy,DC=lan","$UG7000-9BCHVG04OGSD"
"CN=Insertion-RSA,OU=Users Groups,DC=acy,DC=lan","Insertion-RSA"
"CN=_liste_F-L,OU=Users Groups,DC=acy,DC=lan","_liste_F-L"
"CN=Maj_wbem,OU=Users Groups,DC=acy,DC=lan","Maj_wbem"
"CN=Agenda-21,OU=Groups,OU=Annecy,DC=acy,DC=lan","$FG7000-DLV1K80D6BGN"
"CN=Atal_mry,OU=Groups,OU=Annecy,DC=acy,DC=lan","$9K7000-SN5GP6ISD693"
"CN=CMS_Admin,OU=Users Groups,DC=acy,DC=lan","CMS_Admin"
"CN=ACMO_mry,OU=Groups,OU=Annecy,DC=acy,DC=lan","$5K7000-B349OOD8F3AR"
"CN=Urbanisme,OU=Users Groups,DC=acy,DC=lan","Urbanisme"
"CN=GroupeCMS,OU=Social,OU=3-DSOSFI,DC=acy,DC=lan","GroupeCMS"
"CN=instal_Galpe,OU=Users Groups,DC=acy,DC=lan","instal_Galpe"
"CN=TousLesElus_mry,OU=Groups,OU=Annecy,DC=acy,DC=lan","$1H7000-3PFPG46KLG5L"
"CN=Commerce-Artisanat,OU=Users Groups,DC=acy,DC=lan","Commerce-Artisanat"
"CN=Animations-Electorales,OU=Groups,OU=Annecy,DC=acy,DC=lan","$6K7000-8NML5KN9C2F5"
"CN=GPO blocage Office tout,OU=Users Groups,DC=acy,DC=lan","GPO blocage Office tout"
"CN=Cabinet_mry,OU=Groups,OU=Annecy,DC=acy,DC=lan","$QG7000-EBRUFEPJMEMV"
"CN=Batiment-Photos-Plans,OU=Groups,OU=Annecy,DC=acy,DC=lan","$PG7000-9FVIAV63DEUH"
"CN=Juridique,OU=Users Groups,DC=acy,DC=lan","Juridique"
"CN=Planitec,OU=Users Groups,DC=acy,DC=lan","Planitec"
"CN=Finances,OU=Users Groups,DC=acy,DC=lan","Finances"
"CN=Multimedia,OU=Users Groups,DC=acy,DC=lan","Multimedia"
"CN=Olfeo_Bloqués,OU=Users Groups,DC=acy,DC=lan","Olfeo_Bloqués"
"CN=Etat Civil,OU=Users Groups,DC=acy,DC=lan","Etat Civil"
"CN=VSlocatif,OU=Users Groups,DC=acy,DC=lan","VSlocatif"
"CN=Sig,OU=Users Groups,DC=acy,DC=lan","Sig"
"CN=Communic_mry,OU=Groups,OU=Annecy,DC=acy,DC=lan","$TG7000-1LJ0BJDHMHOU"
"CN=Finances_mry,OU=Groups,OU=Annecy,DC=acy,DC=lan","$UD8000-ORCR3N81S8FU"
"CN=Dgre_mry,OU=Groups,OU=Annecy,DC=acy,DC=lan","$VG7000-DAR2TURK5F3C"
"CN=AdministrationParc,OU=Groups,OU=Annecy,DC=acy,DC=lan","$7K7000-8BFATEBHN1U5"
"CN=DirectionFetes,OU=Groups,OU=Annecy,DC=acy,DC=lan","$OH7000-812V071GQ78V"
"CN=ORA_DBA,OU=Users Groups,DC=acy,DC=lan","ORA_DBA"
"CN=GPO blocage Office tout sauf Word,OU=Users Groups,DC=acy,DC=lan","GPO blocage Office tout sauf Word"
"CN=Culturel,OU=Users Groups,DC=acy,DC=lan","Culturel"
"CN=_liste_CDE,OU=Users Groups,DC=acy,DC=lan","_liste_CDE"
"CN=Windows 2000,OU=Users Groups,DC=acy,DC=lan","Windows 2000"
"CN=Intervalle,OU=Users Groups,DC=acy,DC=lan","Intervalle"
"CN=Comerart_mry,OU=Groups,OU=Annecy,DC=acy,DC=lan","$SG7000-L6HOVF8GS1IE"
"CN=Jardins_mry,OU=Groups,OU=Annecy,DC=acy,DC=lan","$HF7000-IM7RKLTDA6EC"
"CN=Winaf,OU=Users Groups,DC=acy,DC=lan","Winaf"
"CN=Elus_mry,OU=Groups,OU=Annecy,DC=acy,DC=lan","$7L8000-7LHJE0QVV44B"
"CN=sans-restrictions,OU=Users Groups,DC=acy,DC=lan","sans-restrictions"
"CN=DVQSP_mry,OU=Groups,OU=Annecy,DC=acy,DC=lan","$RH7000-E1PKEIRAF1H4"
"CN=Balmettes_mry,OU=Groups,OU=Annecy,DC=acy,DC=lan","$HG7000-HC4E0PS9P3RA"
"CN=Drh_mry,OU=Groups,OU=Annecy,DC=acy,DC=lan","$PH7000-0PQO50OM0914"
"CN=ACY-Partenaires,OU=Juniper,DC=acy,DC=lan","ACY-Partenaires"
"CN=Batiment-Etudes,OU=Groups,OU=Annecy,DC=acy,DC=lan","$OG7000-J54M6NVRQ8KS"
"CN=info,OU=Users Groups,DC=acy,DC=lan","info"
"CN=Etacivil_mry,OU=Groups,OU=Annecy,DC=acy,DC=lan","$UH7000-025CAFAE591E"
"CN=Bonlieu_mry,OU=Groups,OU=Annecy,DC=acy,DC=lan","$GF7000-PU73BQNL5BDM"
"CN=_liste_AB,OU=Users Groups,DC=acy,DC=lan","_liste_AB"
"CN=Groupement,OU=Users Groups,DC=acy,DC=lan","Groupement"
"CN=Juridic_mry,OU=Groups,OU=Annecy,DC=acy,DC=lan","$EG8000-H7F8IQIQAL97"
"CN=Archivistes,OU=Users Groups,DC=acy,DC=lan","Archivistes"
"CN=Communication,OU=Users Groups,DC=acy,DC=lan","Communication"
"CN=Internet_mry,OU=Groups,OU=Annecy,DC=acy,DC=lan","$DJ7000-1P8U4F4R0SQN"
"CN=_liste_MNOP,OU=Users Groups,DC=acy,DC=lan","_liste_MNOP"
"CN=CMS_Romains,OU=Users Groups,DC=acy,DC=lan","CMS_Romains"
"CN=Urba,OU=Users Groups,DC=acy,DC=lan","Urba"
"CN=Amofi,OU=Users Groups,DC=acy,DC=lan","Amofi"
"CN=_liste_Q-Z,OU=Users Groups,DC=acy,DC=lan","_liste_Q-Z"
"CN=GPO blocage Office tout sauf Excel,OU=Users Groups,DC=acy,DC=lan","GPO blocage Office tout sauf Excel"
"CN=Archivistes_mry,OU=Groups,OU=Annecy,DC=acy,DC=lan","$GG7000-R2J53H353D7Q"
"CN=Sedit Rh,OU=Users Groups,DC=acy,DC=lan","Sedit Rh"
"CN=Dst_mry,OU=Groups,OU=Annecy,DC=acy,DC=lan","$QH7000-J2C6KOC7K5ME"
"CN=Cadre-Vie,OU=Groups,OU=Annecy,DC=acy,DC=lan","$RG7000-9QGKJ6UOEA4I"
"CN=GestionFinances,OU=Groups,OU=Annecy,DC=acy,DC=lan","$2G8000-UN49HLEPB090"
"CN=Topo_Foncier,OU=Users Groups,DC=acy,DC=lan","Topo_Foncier"
"CN=Admin_Serveurs,OU=Users Groups,DC=acy,DC=lan","Admin_Serveurs"
"CN=GG_Users_Finances,OU=Users Groups,DC=acy,DC=lan","GG_Users_Finances"
"CN=AdminsUcopia,OU=Administrateurs,OU=Informatique,OU=3-DSOSFI,DC=acy,DC=lan","AdminsUcopia"
"CN=GG_Internet sans proxy,OU=Users Groups,DC=acy,DC=lan","GG_Internet sans proxy"
"CN=GG_Repertoire_Utilisateurs,OU=Users Groups,DC=acy,DC=lan","GG_Repertoire_Utilisateurs"
"CN=nfrproxyrights,CN=Users,DC=acy,DC=lan","nfrproxyrights"
"CN=GG_Agents,OU=Users Groups,DC=acy,DC=lan","GG_Agents"
"CN=Voirie_mry,OU=Groups,OU=Annecy,DC=acy,DC=lan","$2MK000-NG5LRR5UOHAE"
"CN=Marches_mry,OU=Groups,OU=Annecy,DC=acy,DC=lan","$3MK000-HJG2DMIRE0PV"
"CN=Info_mry,OU=Groups,OU=Annecy,DC=acy,DC=lan","$4MK000-G84DSEA1LVQE"
"CN=GG_BasDebit,OU=Users Groups,DC=acy,DC=lan","GG_BasDebit"
"CN=GG_UC_Pas_de_MAJ,OU=Users Groups,DC=acy,DC=lan","GG_UC_Pas_de_MAJ"
"CN=Police_mry,OU=Groups,OU=Annecy,DC=acy,DC=lan","$LMK000-2VRJFJRQUUNT"
"CN=GG_Service1,OU=Service 1,OU=8-Service Test,DC=acy,DC=lan","GG_Service1"
"CN=GU_Service1,OU=Service 1,OU=8-Service Test,DC=acy,DC=lan","GU_Service1"
"CN=GG_service2,OU=Service 2,OU=8-Service Test,DC=acy,DC=lan","GG_service2"
"CN=GU_service2,OU=Service 2,OU=8-Service Test,DC=acy,DC=lan","GU_service2"
"CN=GG_Portables,OU=Informatique,OU=3-DSOSFI,DC=acy,DC=lan","GG_Portables"
"CN=GG_PasDeMiseAJour,OU=Users Groups,DC=acy,DC=lan","GG_PasDeMiseAJour"
"CN=GG_Formation,OU=DRH,OU=2-Direction generale des services,DC=acy,DC=lan","GG_Formation"
"CN=idm1grp1,OU=Groups,OU=Annecy,DC=acy,DC=lan","idm1grp1"
"CN=GG_Archivistes,OU=Users Groups,DC=acy,DC=lan","GG_Archivistes"
"CN=GG_1-Archives,OU=Users Groups,DC=acy,DC=lan","GG_1-Archives"
"CN=GG_DAU_DLU,OU=Users Groups,DC=acy,DC=lan","GG_DAU_DLU"
"CN=GG_Juridic,OU=Users Groups,DC=acy,DC=lan","GG_Juridic"
"CN=GG_Sigdu,OU=Users Groups,DC=acy,DC=lan","GG_Sigdu"
"CN=GG_raf,OU=Users Groups,DC=acy,DC=lan","GG_raf"
