user,uid,path,trustee,appliesto
.CN=FritschmannV.OU=HDV.O=ANNECY.T=MRY.,FritschmannV,\urba,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=JournetD.OU=HDV.O=ANNECY.T=MRY.,JournetD,\urba\commun\Occupation du domaine public\CHANTIERS  EN COURS,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=JournetD.OU=HDV.O=ANNECY.T=MRY.,JournetD,\urba\commun\Occupation du domaine public,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=JournetD.OU=HDV.O=ANNECY.T=MRY.,JournetD,\urba\commun,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=JournetD.OU=HDV.O=ANNECY.T=MRY.,JournetD,\urba,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Voirie.OU=HDV.O=ANNECY.T=MRY.,GG_Voirie,\voirie\Arrêtés_Voirie,"Read,ReadAndExecute,Synchronize,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=Voirie.OU=HDV.O=ANNECY.T=MRY.,GG_Voirie,\voirie,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=1-ArretéVoirie.OU=HDV.O=ANNECY.T=MRY.,1-ArretéVoirie,\voirie\Arrêtés_Voirie,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=1-ArretéVoirie.OU=HDV.O=ANNECY.T=MRY.,1-ArretéVoirie,\voirie,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Veyrat_de_lachenalJ.OU=Iphone.OU=Comptes_Speciaux.O=ANNECY.T=MRY.,Veyrat_de_lachenalJ,\voirie\Veyrat_de_lachenal,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=Veyrat_de_lachenalJ.OU=Iphone.OU=Comptes_Speciaux.O=ANNECY.T=MRY.,Veyrat_de_lachenalJ,\voirie,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Voirie.OU=HDV.O=ANNECY.T=MRY.,GG_Voirie,\voirie\Basuyaux,,ThisFolderSubFoldersAndFiles
.CN=Voirie.OU=HDV.O=ANNECY.T=MRY.,GG_Voirie,\voirie,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=BeauquisG.OU=PST.O=ANNECY.T=MRY.,BeauquisG,\voirie\Beauquis,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=BeauquisG.OU=PST.O=ANNECY.T=MRY.,BeauquisG,\voirie,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=BeauquisG.OU=PST.O=ANNECY.T=MRY.,BeauquisG,\voirie\Berteraut,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=BeauquisG.OU=PST.O=ANNECY.T=MRY.,BeauquisG,\voirie,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=BogdanoffM.OU=HDV.O=ANNECY.T=MRY.,BogdanoffM,\voirie\Bogdanoff,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
